price,link,image,city,name,location,roomtype,detailed_location,bedrooms,beds,listed_price,rating,full_rating,amenities,review_number
748.0,http://airbnb.com/rooms/5025066?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=DATED_LTS&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=1b660edd-8be7-4238-89ab-d604979abb7a,https://a0.muscache.com/im/pictures/62908502/80bd46bf_original.jpg?im_w=240,Berlin,Room in green area close to Berlin ,Falkensee,Private room,Falkensee,1,1,748,4.97,4.97 out of 5 stars from 78 reviews,"Wifi, Kitchen, Free parking on premises, Pool, TV, Toilet paper, Soap, Towels, Pillows, Bed linens, Heating, Washing machine",78.0
745.0,http://airbnb.com/rooms/12148040?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=a3936f45-ca4f-45e6-a39c-28d65132bd53,https://a0.muscache.com/im/pictures/b42a79a5-bc66-4f54-8d9c-48fb95cbd516.jpg?im_w=240,Berlin,"Nice, light and friendly room ",Berlin,Private room,Schöneberg,1,1,745,4.59,4.59 out of 5 stars from 54 reviews,"Wifi, Kitchen, Dryer, Cable TV, Iron, Laptop-friendly workspace, Hangers, Hair dryer",54.0
745.0,http://airbnb.com/rooms/29080921?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=1a8568fb-3715-4ddf-9a3d-a86446a692b4,https://a0.muscache.com/im/pictures/c4d2a26c-b706-4d63-92f9-c1b3f7281aa9.jpg?im_w=240,Seoul,"♥Seoul stay♥[Metro 5min] Myeongdong,Dongdaemun ","Suyudong, Gangbukgu",Entire flat,Gangbuk,1,1,745,4.94,4.94 out of 5 stars from 32 reviews,"Kitchen, Wifi, Iron, Hair dryer, Cable TV, Hangers, Toilet paper, Soap, Towels, Pillows, Bed linens, Laptop-friendly workspace, Heating, TV",32.0
743.0,http://airbnb.com/rooms/39928292?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=760940d0-0721-4f68-8d47-c27e15a19391,https://a0.muscache.com/im/pictures/047462a6-1ecf-4080-aae5-b8207b39919b.jpg?im_w=240,Seoul,"♥Cozy♥Clean서울penthouse 보문역도보3분,고려대학교,성신여대,동대문,종로 ",Seongbukgu,Entire loft,Seongbuk,Studio,1,743,4.67,4.67 out of 5 stars from 18 reviews,"Kitchen, Wifi, Dryer, Hair dryer, Cable TV, Hangers, Toilet paper, Soap, Towels, Pillows, Bed linens, Laptop-friendly workspace",18.0
743.0,http://airbnb.com/rooms/19099053?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=5d94edc3-447c-4401-90f0-245dcb893ad7,https://a0.muscache.com/im/pictures/98ed306d-2c8c-47c2-8e5d-0444d4f8f508.jpg?im_w=240,Berlin,Familyfriendly apartment in the center of Berlin ,Berlin,Entire flat,Friedrichshain,1,2,1486,4.85,4.85 out of 5 stars from 151 reviews,"Wifi, Kitchen, Cable TV, Iron, Laptop-friendly workspace, Hangers, Hair dryer, TV, Toilet paper, Soap, Towels, Pillows, Bed linens, Heating",151.0
741.0,http://airbnb.com/rooms/834586?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=e6294e4b-09b5-4810-bac5-2426aa3f66d7,https://a0.muscache.com/im/pictures/11906068/c2c7a323_original.jpg?im_w=240,London,ROOM ENSUITE BATHROOM Heathrow & Film studios ,Hayes,Private room,LB of Hillingdon,1,1,741,4.96,4.96 out of 5 stars from 23 reviews,"Wifi, Kitchen, Cable TV, Dryer, TV, Iron, Hangers, Washing machine, Heating",23.0
740.0,http://airbnb.com/rooms/28790125?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=DATED_LTS&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=b93ce8fe-5c29-4a3b-ae34-a2138d95aa64,https://a0.muscache.com/im/pictures/0db5c378-124d-441e-bf72-3754510c8900.jpg?im_w=240,Taipei,3BDR 16 ppl / Zhongxiao Fuxing MRT 5 mins ,台北,Entire apartment,台北,3,3,2221,4.93,4.93 out of 5 stars from 43 reviews,"Kitchen, Wifi, Dryer, Heating, Iron, Hair dryer, Hangers, Washing machine, Laptop-friendly workspace, Toilet paper, Soap, Towels, Pillows, Bed linens",43.0
738.0,http://airbnb.com/rooms/5521914?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=DATED_LTS&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=aceae37f-ce35-4819-89c5-22dd6b49feeb,https://a0.muscache.com/im/pictures/86537354/40b9c7c7_original.jpg?im_w=240,Berlin,Apartment am Schloss Charlottenburg ,Berlin,Entire flat,Charlottenburg,1,2,1475,4.91,4.91 out of 5 stars from 80 reviews,"Lift, Wifi, Kitchen, Cable TV, Iron, Hangers, Hair dryer, TV",80.0
737.0,http://airbnb.com/rooms/12458875?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&display_extensions%5B%5D=DATED_LTS&federated_search_id=bee3de80-7a9e-47d4-825f-d9585bfc82a7,https://a0.muscache.com/im/pictures/107bcc0e-1b9e-421c-bcfe-12eeeaa367b4.jpg?im_w=240,London,"Large beautiful double room, 2 min walk from Tube ",London,Private room,LB of Barnet,1,1,737,4.93,4.93 out of 5 stars from 28 reviews,"Wifi, Kitchen, Laptop-friendly workspace, Hair dryer, Iron, Hangers, Washing machine, Heating, Toilet paper, Soap, Towels, Pillows, Bed linens, Free on-street parking",28.0
737.0,http://airbnb.com/rooms/39811568?check_in=2021-01-01&check_out=2021-04-30&previous_page_section_name=1000&display_extensions%5B%5D=DATED_LTS&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=aceae37f-ce35-4819-89c5-22dd6b49feeb,https://a0.muscache.com/im/pictures/f0334a6e-bc24-43c7-ae3a-2d10e8a47582.jpg?im_w=240,Berlin,"Sehr komfortabler , Einzel Zimmer.Näher Ku’damm ",Berlin,Private room,Wilmersdorf,1,1,737,5.0,5.0 out of 5 stars from 5 reviews,"Wifi, Kitchen, Iron, Hangers, Washing machine, Toilet paper, Soap, Towels, Pillows, Bed linens, Heating, Private living room, Smoke alarm",5.0
